t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
148,797780.000000,12,32,80,83,0,0,0,0,2,1,5,2,2,0,1,0,0,1,0,0,0,3000,0,6000,48,0,1,0.32353,0.511516
149,797780.000000,11,30,80,86,0,0,0,0,1,1,4,1,1,0,0,0,5,1,0,0,0,3000,0,6000,48,0,1,0.32353,0.511516
150,797779.000000,12,27,82,87,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.32367,0.511516
151,797778.000000,12,25,84,88,1,2,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.323799,0.511516
152,797778.000000,11,22,85,91,0,1,0,0,2,1,3,0,0,0,4,0,3,1,0,0,0,3000,0,6000,48,0,1,0.323799,0.511516
153,797777.000000,11,23,85,91,1,0,0,0,1,2,1,1,1,0,0,0,13,1,0,0,0,3000,0,6000,48,0,1,0.323923,0.511516
154,797775.000000,12,22,86,92,2,1,0,0,1,2,2,1,1,0,0,0,20,1,0,0,0,3000,0,6000,48,0,1,0.324184,0.511516
155,797774.000000,12,21,87,93,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.324306,0.511516
156,797772.000000,14,19,88,94,2,1,0,1,1,1,2,1,1,0,1,0,4,1,0,0,0,3000,0,6000,48,0,1,0.324561,0.511516
157,797771.000000,14,17,90,95,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.324679,0.511516
158,797771.000000,14,17,90,95,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.324679,0.511516
159,797771.000000,9,22,90,95,0,0,0,0,4,1,0,0,0,0,0,0,10,1,0,0,0,3000,0,6000,48,0,1,0.324679,0.511516
160,797771.000000,9,22,90,95,0,0,0,0,1,1,1,1,0,0,1,0,42,0,0,0,0,3000,0,6000,48,0,1,0.324679,0.511516
161,797769.000000,9,21,92,96,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.324925,0.511516
162,797768.000000,9,21,93,96,1,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325043,0.511516
163,797766.000000,9,20,94,98,2,1,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325271,0.511516
164,797765.000000,10,19,94,99,1,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325379,0.511516
165,797763.000000,12,18,94,100,2,0,0,2,0,2,4,1,1,0,0,0,21,0,0,0,0,3000,0,6000,48,0,1,0.325591,0.511516
166,797760.000000,15,15,94,103,3,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325902,0.511516
167,797760.000000,14,14,96,103,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325902,0.511516
168,797760.000000,13,15,96,103,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325902,0.511516
169,797760.000000,10,18,96,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.325902,0.511516
170,797759.000000,10,19,96,103,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326007,0.511516
171,797759.000000,10,17,97,104,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326007,0.511516
172,797756.000000,10,19,97,105,3,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.32632,0.511516
173,797755.000000,11,18,98,105,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326432,0.511516
174,797755.000000,10,19,98,105,0,0,0,0,1,3,0,0,0,0,1,0,113,1,0,0,0,3000,0,6000,48,0,1,0.326432,0.511516
175,797755.000000,10,19,98,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326432,0.511516
176,797754.000000,10,19,99,105,1,1,0,0,1,3,0,0,0,0,0,0,40,2,0,0,0,3000,0,6000,48,0,1,0.326542,0.511516
177,797752.000000,11,18,101,105,2,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326733,0.511516
178,797752.000000,9,20,101,105,0,0,0,0,1,4,0,0,0,0,0,0,71,3,0,0,0,3000,0,6000,48,0,1,0.326733,0.511516
179,797752.000000,9,20,101,105,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326733,0.511516
180,797752.000000,8,19,102,106,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326733,0.511516
181,797751.000000,9,18,103,106,1,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326841,0.511516
182,797751.000000,9,15,103,109,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.326841,0.511516
